SKU (do not edit),Product Name (do not edit),Category (do not edit),Machine Tier [EDIT: trade / professional / industrial],List Price RM [EDIT — REQUIRED],Diameter [EDIT — e.g. 230mm or 9″],Arbor Size [EDIT — e.g. 22.23mm or M14],Segment Height [EDIT — e.g. 10mm],Bond Type [EDIT: soft / medium / hard / extraHard],Max RPM [EDIT — e.g. 6650],YouTube URL [EDIT — full https:// link],Notes for me [optional — anything you want flagged]
14″_9.5MM,14″-9.5mm Segment,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_CLASSIC_SERIES,14″/350mm CLASSIC Series,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_DUALBOND_SERIES,14″/350mm DualBond Series,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_ECOSAVE_SERIES,14″/350mm EcoSave Series,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_ECOSMART_SERIES,14″/350mm EcoSmart Series,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_GHOST_SERIES,14″/350mm GHOST Series,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_HSP_SERIES,14″/350mm HSP Series,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_PDA_SERIES-FSL350PDA,14″/350mm PDA Series (FSL350PDA),Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_PDA_SERIES,14″/350mm PDA Series (PDA350HSS),Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_WARLORD_SERIES,14″/350mm WARLORD Series,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_DBS_III_NEW,14″/Ø350mm DBS III,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
14″_350MM_RING_SAW_BLADE,14″/Ø350mm Ring Saw Blade,Diamond Blades,Trade,0,350mm,22.23mm,,,,,
16″_400MM_ECOSAVE_SERIES,16″/400mm EcoSave Series,Diamond Blades,Trade,0,400mm,22.23mm,,,,,
16″_400MM_ECOSMART_SERIES,16″/400mm EcoSmart Series,Diamond Blades,Trade,0,400mm,22.23mm,,,,,
16″_400MM_HSP_SERIES,16″/400mm HSP Series,Diamond Blades,Trade,0,400mm,22.23mm,,,,,
16″_400MM_PDA_SERIES-FSL400PDA,16″/400mm PDA Series (FSL400PDA),Diamond Blades,Trade,0,400mm,22.23mm,,,,,
16″_400MM_PDA_SERIES,16″/400mm PDA Series (PDA400HSS),Diamond Blades,Trade,0,400mm,22.23mm,,,,,
16″_400MM_SUPERB_SERIES,16″/400mm Superb Series,Diamond Blades,Trade,0,400mm,22.23mm,,,,,
18″_450MM_HS_BLUE_SERIES,18″/450mm HS BLUE Series,Diamond Blades,Trade,0,450mm,22.23mm,,,,,
18″_450MM_PDA_SERIES,18″/450mm PDA Series,Diamond Blades,Trade,0,450mm,22.23mm,,,,,
20″_500MM_HS_BLUE_SERIES,20″/500mm HS BLUE Series,Diamond Blades,Trade,0,500mm,22.23mm,,,,,
20″_500MM_PDA_SERIES,20″/500mm PDA Series,Diamond Blades,Trade,0,500mm,22.23mm,,,,,
